timestamp,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,controller.actuatorThrust,controller.pitch,controller.roll,controller.yaw,pid_attitude.pitch_output,pid_attitude.roll_output,pid_attitude.yaw_output,pid_attitude.pitch_outI,pid_attitude.roll_outI,pid_attitude.yaw_outI,pid_rate.pitch_output,pid_rate.roll_output,pid_rate.yaw_output,pid_rate.pitch_outI,pid_rate.roll_outI,pid_rate.yaw_outI,stateEstimate.pitch,stateEstimate.roll,stateEstimate.yaw,snn_control.torque_pitch,snn_control.torque_roll
55495.409,22.23685646057129,3.295511245727539,-8.036211013793945,-0.016534801572561264,0.00792576465755701,1.1497076749801636,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.94856262207031,20.77945327758789,8.109016418457031,0.0,0.0,0.14324215054512024,5881.6787109375,-1112.708740234375,1937,0.0,0.0,0.0,-7.009726524353027,-2.4632420539855957,54.161861419677734,6804.64013671875,-873.4201049804688
55497.257,23.401613235473633,1.5395997762680054,-7.7468953132629395,-0.017341192811727524,0.008519607596099377,1.1431949138641357,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.918983459472656,20.213069915771484,13.704461097717285,0.0,0.0,0.14595921337604523,5029.671875,-1776.636474609375,2574,0.0,0.0,0.0,-7.004796504974365,-2.368844985961914,54.13096237182617,8220.380859375,285.20037841796875
55499.263,24.740802764892578,-0.30763548612594604,-7.293735504150391,-0.016703806817531586,0.005308657884597778,1.1380773782730103,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.918983459472656,20.213069915771484,8.299844741821289,0.0,0.0,0.14867627620697021,4706.2744140625,-1683.552001953125,1871,0.0,0.0,0.0,-7.004796504974365,-2.368844985961914,54.13096237182617,6646.2607421875,-796.4598999023438
55501.231,26.537044525146484,-1.1916489601135254,-6.997110366821289,-0.01584586314857006,0.0004704887396655977,1.133111834526062,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.82455062866211,19.573633193969727,13.286358833312988,0.0,0.0,0.15144839882850647,5211.099609375,-2871.2705078125,2434,0.0,0.0,0.0,-6.989058017730713,-2.2622721195220947,54.10342788696289,5987.60009765625,-1045.2601318359375
55503.267,28.339513778686523,-1.453364610671997,-6.828563213348389,-0.0153941810131073,-0.002727020997554064,1.1297016143798828,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.82455062866211,19.573633193969727,8.470596313476562,0.0,0.0,0.15422052145004272,5709.3916015625,-2666.73388671875,1835,0.0,0.0,0.0,-6.989058017730713,-2.2622721195220947,54.10342788696289,6483.140625,-391.73974609375
55505.193,29.663097381591797,-2.202277898788452,-6.625423908233643,-0.013842146843671799,-0.003395942272618413,1.1294279098510742,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.70583724975586,18.860822677612305,13.170620918273926,0.0,0.0,0.15704454481601715,5124.81396484375,-3147.63671875,2375,0.0,0.0,0.0,-6.969272136688232,-2.143470525741577,54.077476501464844,6609.56103515625,-1531.39990234375
55507.141,30.687376022338867,-3.4592411518096924,-6.422556400299072,-0.012518010102212429,-0.005804921966046095,1.126058578491211,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.70583724975586,18.860822677612305,8.631952285766602,0.0,0.0,0.15986856818199158,4644.2685546875,-2542.19189453125,1806,0.0,0.0,0.0,-6.969272136688232,-2.143470525741577,54.077476501464844,5223.080078125,-1673.4400634765625
55509.155,31.620588302612305,-3.8400704860687256,-6.057818412780762,-0.01225095521658659,-0.009696869179606438,1.1239595413208008,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.54823684692383,18.103376388549805,12.894272804260254,0.0,0.0,0.16273966431617737,5102.4033203125,-3295.57568359375,2274,0.0,0.0,0.0,-6.943005561828613,-2.0172293186187744,54.0539436340332,4833.0595703125,-2082.840087890625
55511.141,32.5099983215332,-3.405822277069092,-5.537071704864502,-0.011451954953372478,-0.007115610875189304,1.1232997179031372,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.54823684692383,18.103376388549805,8.778891563415527,0.0,0.0,0.16561076045036316,5897.046875,-2828.05078125,1717,0.0,0.0,0.0,-6.943005561828613,-2.0172293186187744,54.0539436340332,4794.69970703125,-2041.259521484375
55513.043,33.760616302490234,-3.6125130653381348,-5.180782794952393,-0.009825706481933594,-0.0012405639281496406,1.124480128288269,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.396217346191406,17.28907012939453,12.403266906738281,0.0,0.0,0.16852186620235443,5248.5224609375,-4019.425048828125,2110,0.0,0.0,0.0,-6.91766881942749,-1.8815116882324219,54.033935546875,5826.47900390625,-2935.69921875
55515.05,35.42158126831055,-4.45456600189209,-5.113460063934326,-0.008564792573451996,0.005149382166564465,1.1247495412826538,52000.0,-0.1849660724401474,1.0,55.4894905090332,40.396217346191406,17.28907012939453,8.904762268066406,0.0,0.0,0.1714329719543457,4759.7080078125,-3965.600341796875,1682,0.0,0.0,0.0,-6.91766881942749,-1.8815116882324219,54.033935546875,5445.67919921875,-1834.640380859375
55516.997,36.58987045288086,-4.602291584014893,-4.991944789886475,-0.008920629508793354,0.0089817950502038,1.124098539352417,52000.0,0.13787777721881866,1.0,55.4894905090332,42.15785598754883,16.402496337890625,12.36208438873291,0.0,0.0,0.1743822544813156,6843.7705078125,-4569.25341796875,2082,0.0,0.0,0.0,-6.888431549072266,-1.733749508857727,54.01485061645508,4960.11962890625,-3702.89990234375
