timestamp,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,controller.actuatorThrust,controller.pitch,controller.roll,controller.yaw,pid_attitude.pitch_output,pid_attitude.roll_output,pid_attitude.yaw_output,pid_attitude.pitch_outI,pid_attitude.roll_outI,pid_attitude.yaw_outI,pid_rate.pitch_output,pid_rate.roll_output,pid_rate.yaw_output,pid_rate.pitch_outI,pid_rate.roll_outI,pid_rate.yaw_outI,stateEstimate.pitch,stateEstimate.roll,stateEstimate.yaw,snn_control.torque_pitch,snn_control.torque_roll
38638.021,32.78635787963867,-64.91980743408203,5.9177446365356445,0.016616640612483025,0.00511426804587245,0.9918144941329956,46788.0,-3.88916015625,1.0,-111.38511657714844,32.22865676879883,51.26664733886719,24.36648178100586,-2.168581485748291,7.318168640136719,5.091884613037109,-15727.8505859375,16201.681640625,2213,2626.4912109375,15146.3056640625,0.0,-9.62203311920166,-6.324746608734131,-114.59754943847656,-4781.16015625,-2893.1396484375
38640.08,36.2921257019043,-73.73355102539062,5.9293341636657715,0.014850706793367863,0.0012193025322631001,0.9890803694725037,46788.0,-3.88916015625,1.0,-111.38511657714844,30.424915313720703,50.32090759277344,13.85293960571289,-2.1360206604003906,7.361127853393555,5.098193168640137,-21515.83203125,13103.146484375,950,2583.1826171875,15160.3349609375,0.0,-9.315982818603516,-6.1599626541137695,-114.5394287109375,-8050.7001953125,-1670.7001953125
38641.97,39.4600944519043,-81.7301025390625,6.256035327911377,0.013145213946700096,0.0008852625614963472,0.9857439398765564,46788.0,-3.5663163661956787,1.0,-111.38511657714844,32.39647674560547,50.36386489868164,24.03037452697754,-2.101522445678711,7.404088020324707,5.104501724243164,-17330.794921875,13990.9169921875,2132,2533.84912109375,15171.23828125,0.0,-9.315982818603516,-6.1599626541137695,-114.5394287109375,-12120.1220703125,-2767.099853515625
38643.954,42.41225051879883,-88.64857482910156,6.512577533721924,0.012014735490083694,0.0022172117605805397,0.9901435375213623,46788.0,-3.5663163661956787,1.0,-111.38511657714844,30.2425537109375,49.26572799682617,12.123351097106934,-2.069211006164551,7.4459075927734375,5.110678672790527,-23466.5546875,11828.5947265625,673,2475.44287109375,15178.0908203125,0.0,-8.951610565185547,-5.969970226287842,-114.4736099243164,-12583.8408203125,-5637.3203125
38645.926,45.2430534362793,-95.40574645996094,6.757408618927002,0.0103811826556921,3.591534186853096e-05,0.9983606338500977,46788.0,-3.5663163661956787,1.0,-111.38511657714844,30.274864196777344,49.30754852294922,23.647815704345703,-2.0368990898132324,7.487727165222168,5.116855621337891,-22278.484375,12712.05078125,2026,2410.31201171875,15182.1552734375,0.0,-8.951610565185547,-5.969970226287842,-114.4736099243164,-13502.1220703125,-8067.2607421875
38647.901,47.9827880859375,-102.01470184326172,6.987475395202637,0.006842853967100382,-0.0030080394353717566,1.0061908960342407,46788.0,-3.5663163661956787,1.0,-111.38511657714844,27.806461334228516,48.076168060302734,10.66905403137207,-2.0070858001708984,7.5282745361328125,5.122889041900635,-27562.646484375,10241.701171875,441,2336.103759765625,15182.2490234375,0.0,-8.53524112701416,-5.75798225402832,-114.40187072753906,-16953.6796875,-10986.3603515625
38649.942,50.83607864379883,-108.61344146728516,7.002539157867432,0.003051973646506667,-0.010613995604217052,1.010037899017334,46788.0,-3.5663163661956787,1.0,-111.38511657714844,27.836275100708008,48.11671447753906,23.229446411132812,-1.9772722721099854,7.568822860717773,5.128922462463379,-26150.130859375,10983.759765625,1947,2255.326416015625,15179.5302734375,0.0,-8.53524112701416,-5.75798225402832,-114.40187072753906,-17497.259765625,-8655.3798828125
38651.855,53.93967056274414,-115.04938507080078,6.887137413024902,-0.0016378873260691762,-0.01784954033792019,1.011069416999817,46788.0,-3.5663163661956787,1.0,-111.38511657714844,25.061269760131836,46.751644134521484,9.742359161376953,-1.950260877609253,7.607966423034668,5.134807109832764,-31845.373046875,7789.5087890625,342,2165.33837890625,15172.3427734375,0.0,-8.068238258361816,-5.5239458084106445,-114.32732391357422,-19234.1796875,-10407.9599609375
38653.811,56.98957824707031,-120.70332336425781,6.6095967292785645,-0.005497683770954609,-0.020933115854859352,1.0108509063720703,46788.0,-3.5663163661956787,1.0,-111.38511657714844,25.088279724121094,46.79078674316406,22.793935775756836,-1.923249363899231,7.6471099853515625,5.140691757202148,-28867.701171875,8848.990234375,1942,2069.72314453125,15162.1435546875,0.0,-8.068238258361816,-5.5239458084106445,-114.32732391357422,-23660.560546875,-6952.919921875
38655.795,59.60701370239258,-125.5532455444336,6.141651153564453,-0.005969352554529905,-0.021288493648171425,1.0075023174285889,46788.0,-3.5663163661956787,1.0,-111.38511657714844,22.063247680664062,45.29698181152344,9.53040885925293,-1.8992868661880493,7.684722900390625,5.146429538726807,-33749.95703125,6431.275390625,406,1966.233154296875,15147.833984375,0.0,-7.56007194519043,-5.268709659576416,-114.25401306152344,-24200.501953125,-13649.2802734375
38657.763,61.26731872558594,-129.83384704589844,5.7132792472839355,-0.0032488794531673193,-0.011968197301030159,0.9998697638511658,46788.0,-3.5663163661956787,1.0,-111.38511657714844,22.087209701538086,45.3345947265625,22.36554718017578,-1.8753243684768677,7.722334861755371,5.152167320251465,-30398.96875,9120.3544921875,1998,1858.486572265625,15131.900390625,0.0,-7.56007194519043,-5.268709659576416,-114.25401306152344,-21885.0,-16175.419921875
38764.337,-40.4537467956543,108.50103759765625,-2.7646567821502686,-0.0011400340590626001,-0.015585746616125107,0.9904324412345886,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,-5.714958190917969,32.31390380859375,21.49712371826172,-2.134547472000122,8.923799514770508,5.426048278808594,34716.2109375,36893.21875,2911,-1912.6026611328125,15015.353515625,0.0,-0.49669358134269714,-1.496533751487732,-114.06362915039062,17432.458984375,8866.6796875
38766.313,-43.57710266113281,113.64580535888672,-2.1261584758758545,-0.005070336628705263,-0.015730297192931175,0.99287348985672,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,-3.001735210418701,33.380088806152344,25.31386375427246,-2.135413885116577,8.948230743408203,5.431447505950928,35681.55078125,39568.52734375,3292,-1801.9586181640625,15092.3095703125,0.0,-0.9490418434143066,-1.6701592206954956,-114.08468627929688,16645.638671875,9208.48046875
38768.354,-46.36157989501953,117.98632049560547,-1.7569292783737183,-0.00938845332711935,-0.017489656805992126,0.9924507737159729,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,-3.0026016235351562,33.40452194213867,21.634265899658203,-2.1362802982330322,8.972662925720215,5.436846733093262,32483.509765625,38624.734375,2806,-1686.974853515625,15172.076171875,0.0,-0.9490418434143066,-1.6701592206954956,-114.08468627929688,18947.12109375,4178.15966796875
38770.261,-48.40728759765625,122.48274230957031,-1.814078450202942,-0.013163875788450241,-0.020023027434945107,0.9906483888626099,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,-0.07525086402893066,34.58971405029297,25.68304443359375,-2.134221076965332,8.99825382232666,5.442290782928467,38317.0234375,40042.953125,3299,-1564.5673828125,15255.0732421875,0.0,-1.4365904331207275,-1.863426685333252,-114.10702514648438,21363.880859375,6578.73974609375
38772.23,-50.21626281738281,127.2459716796875,-1.8963885307312012,-0.014878997579216957,-0.02099204808473587,0.9878289103507996,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,-0.07319188117980957,34.61530685424805,21.779186248779297,-2.132162094116211,9.023845672607422,5.447734832763672,36312.41015625,38841.01171875,2841,-1437.39453125,15339.904296875,0.0,-1.4365904331207275,-1.863426685333252,-114.10702514648438,20716.560546875,7036.6396484375
38774.218,-51.98387908935547,130.94894409179688,-1.6777898073196411,-0.015466348268091679,-0.016667980700731277,0.9933853149414062,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,3.05586576461792,35.88545608520508,26.247814178466797,-2.126979351043701,9.050680160522461,5.453227996826172,40737.84375,41192.31640625,3351,-1303.3896484375,15427.7744140625,0.0,-1.9572362899780273,-2.070646047592163,-114.13168334960938,20106.720703125,12081.099609375
38776.174,-53.254859924316406,133.77078247070312,-1.1258734464645386,-0.017803024500608444,-0.009464140050113201,1.000180959701538,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,3.061048746109009,35.91229248046875,21.938121795654297,-2.1217963695526123,9.0775146484375,5.458721160888672,36575.1796875,39431.0,2767,-1166.5577392578125,15516.9423828125,0.0,-1.9572362899780273,-2.070646047592163,-114.13168334960938,20821.900390625,9016.1005859375
38778.235,-54.3033561706543,136.39601135253906,-0.7312424778938293,-0.018609507009387016,-0.00743468152359128,1.0045592784881592,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,6.320476531982422,37.23344421386719,26.21070671081543,-2.1133625507354736,9.105643272399902,5.464261531829834,42011.10546875,41454.7421875,3233,-1023.8412475585938,15608.478515625,0.0,-2.49906849861145,-2.2861499786376953,-114.15525817871094,20825.87890625,11005.0205078125
38780.12,-54.966041564941406,139.1228485107422,-0.5608882904052734,-0.016375843435525894,-0.01032287534326315,1.0106151103973389,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,6.328909873962402,37.261573791503906,22.090652465820312,-2.104928731918335,9.133771896362305,5.469801902770996,38903.62109375,39621.125,2718,-878.3894653320312,15700.7060546875,0.0,-2.49906849861145,-2.2861499786376953,-114.15525817871094,20569.98046875,10297.560546875
38782.103,-55.59134292602539,141.5811309814453,-0.43113353848457336,-0.013337651267647743,-0.015386073850095272,1.0130319595336914,46788.0,-1.0934287309646606,2.4018168449401855,-111.38511657714844,9.707250595092773,38.61902618408203,26.67951774597168,-2.093128204345703,9.163227081298828,5.475392818450928,44390.7734375,41825.95703125,3253,-727.10107421875,15794.9169921875,0.0,-3.0601584911346436,-2.5074830055236816,-114.18058013916016,21420.162109375,11032.9599609375
38784.077,-56.61217498779297,143.25076293945312,-0.26997116208076477,-0.009201237931847572,-0.021166188642382622,1.010577917098999,46788.0,-0.7715486288070679,2.7333343029022217,-111.38511657714844,11.652263641357422,40.63957214355469,22.253765106201172,-2.0793967247009277,9.194671630859375,5.480983734130859,42671.875,44006.82421875,2702,-572.1980590820312,15892.1689453125,0.0,-3.0601584911346436,-2.5074830055236816,-114.18058013916016,20825.681640625,10329.62109375
38786.05,-57.36343002319336,144.21542358398438,-0.3777450621128082,-0.0073163509368896484,-0.026507282629609108,1.0138778686523438,46788.0,-0.7715486288070679,2.7333343029022217,-111.38511657714844,15.0897216796875,42.049171447753906,27.301151275634766,-2.0622446537017822,9.227493286132812,5.486630439758301,44916.03515625,43545.79296875,3321,-412.89288330078125,15991.58203125,0.0,-3.6302099227905273,-2.736945390701294,-114.20843505859375,24466.322265625,10837.8603515625
38788.09,-57.509403228759766,144.52117919921875,-0.454459011554718,-0.006891084369271994,-0.028776435181498528,1.0167746543884277,46788.0,-0.7715486288070679,2.7333343029022217,-111.38511657714844,15.106873512268066,42.081993103027344,22.432188034057617,-2.0450925827026367,9.26031494140625,5.492277145385742,40057.37890625,41212.52734375,2746,-253.2648162841797,16091.1728515625,0.0,-3.6302099227905273,-2.736945390701294,-114.20843505859375,23918.158203125,10915.2197265625
38789.998,-57.6513786315918,144.16734313964844,-0.2878102660179138,-0.006422156468033791,-0.030356908217072487,1.0156604051589966,46788.0,-0.7715486288070679,2.7333343029022217,-111.38511657714844,18.540063858032227,43.50220489501953,27.83038902282715,-2.0245280265808105,9.294523239135742,5.497983455657959,44435.49609375,43433.4453125,3374,-90.5573959350586,16192.3271484375,0.0,-4.198980808258057,-2.9679458141326904,-114.23822784423828,23099.83984375,12371.8408203125
