timestamp,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,controller.actuatorThrust,controller.pitch,controller.roll,controller.yaw,pid_attitude.pitch_output,pid_attitude.roll_output,pid_attitude.yaw_output,pid_attitude.pitch_outI,pid_attitude.roll_outI,pid_attitude.yaw_outI,pid_rate.pitch_output,pid_rate.roll_output,pid_rate.yaw_output,pid_rate.pitch_outI,pid_rate.roll_outI,pid_rate.yaw_outI,stateEstimate.pitch,stateEstimate.roll,stateEstimate.yaw,snn_control.torque_pitch,snn_control.torque_roll
174141.031,-29.852781295776367,52.778865814208984,-2.2559094429016113,0.009478063322603703,0.01309233345091343,0.9284058213233948,47006.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-15.876211166381836,17.757631301879883,19.740942001342773,-0.0,0.0,3.5642917156219482,6596.28271484375,4542.8837890625,2639,-0.0,0.0,0.0,0.8148545026779175,-0.6686154007911682,-176.32070922851562,8508.0205078125,6908.97998046875
174142.996,-26.22909927368164,53.144248962402344,-2.364609479904175,0.0075678532011806965,0.012125659734010696,0.9275099039077759,47006.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-15.876211166381836,17.757631301879883,17.772335052490234,-0.0,0.0,3.569026231765747,5864.240234375,3880.249755859375,2416,-0.0,0.0,0.0,0.8148545026779175,-0.6686154007911682,-176.32070922851562,5950.5810546875,7216.69970703125
174145.053,-23.468585968017578,53.3737678527832,-2.267656087875366,0.007846907712519169,0.01292507816106081,0.9223809838294983,46353.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-14.596572875976562,18.306194305419922,19.90094757080078,-0.0,0.0,3.573784112930298,6948.4482421875,4607.2529296875,2660,-0.0,0.0,0.0,0.6015816926956177,-0.7600424289703369,-176.3324432373047,7850.70068359375,7786.2001953125
174146.937,-20.840707778930664,53.350345611572266,-2.1371262073516846,0.0091514578089118,0.01531829871237278,0.9176672697067261,46353.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-14.596572875976562,18.306194305419922,17.85225486755371,-0.0,0.0,3.5785419940948486,5795.4990234375,3901.12841796875,2398,-0.0,0.0,0.0,0.6015816926956177,-0.7600424289703369,-176.3324432373047,6337.4404296875,5573.3603515625
174148.934,-17.094873428344727,53.298927307128906,-2.3178975582122803,0.009545739740133286,0.017343785613775253,0.9187892079353333,46353.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-13.321905136108398,18.69849395751953,20.072032928466797,-0.0,0.0,3.583324432373047,6913.98876953125,2853.85107421875,2686,-0.0,0.0,0.0,0.38913694024086,-0.825425922870636,-176.3446807861328,9789.30078125,3318.3203125
174150.888,-12.637686729431152,53.011417388916016,-2.4351892471313477,0.00830111838877201,0.019286591559648514,0.9227712154388428,46353.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-13.321905136108398,18.69849395751953,17.935243606567383,-0.0,0.0,3.588106870651245,5737.7978515625,1357.53955078125,2444,-0.0,0.0,0.0,0.38913694024086,-0.825425922870636,-176.3446807861328,5833.3994140625,2536.300537109375
174152.869,-8.338099479675293,52.48650360107422,-2.430666446685791,0.0057213082909584045,0.020009808242321014,0.9314485192298889,46353.0,-1.8311805725097656,2.290989875793457,-173.9534912109375,-12.066486358642578,18.87883949279785,20.254474639892578,-0.0,0.0,3.5929148197174072,6610.8798828125,993.108154296875,2722,-0.0,0.0,0.0,0.1799004226922989,-0.8554832339286804,-176.3574676513672,7864.4814453125,2935.900390625
174154.914,-4.909142971038818,51.888877868652344,-2.507009744644165,0.0015469237696379423,0.019986649975180626,0.9368964433670044,46353.0,-1.8311805725097656,1.957545280456543,-173.9534912109375,-12.066486358642578,16.878171920776367,18.021581649780273,-0.0,0.0,3.5977227687835693,5525.1396484375,-804.119384765625,2463,-0.0,0.0,0.0,0.1799004226922989,-0.8554832339286804,-176.3574676513672,9727.1806640625,4300.08056640625
174156.817,-1.9045932292938232,51.3062858581543,-2.6754343509674072,-0.002319053979590535,0.01918119192123413,0.9408244490623474,46353.0,-1.8311805725097656,1.957545280456543,-173.9534912109375,-10.83672046661377,16.904695510864258,20.514835357666016,-0.0,0.0,3.602558135986328,6555.81640625,587.873046875,2782,-0.0,0.0,0.0,-0.025060487911105156,-0.8599039912223816,-176.3712158203125,11166.55859375,467.3999938964844
174158.792,1.6549608707427979,50.494712829589844,-2.7569375038146973,-0.006316951476037502,0.01961064152419567,0.9442291855812073,46353.0,-1.8311805725097656,1.957545280456543,-173.9534912109375,-10.83672046661377,16.904695510864258,18.113740921020508,-0.0,0.0,3.607393503189087,5340.01953125,-382.20458984375,2504,-0.0,0.0,0.0,-0.025060487911105156,-0.8599039912223816,-176.3712158203125,10385.060546875,-288.8998107910156
174160.764,5.6344380378723145,49.11057662963867,-2.657133102416992,-0.009219312109053135,0.02116645686328411,0.9413889646530151,46353.0,-1.8311805725097656,1.957545280456543,-173.9534912109375,-9.657418251037598,16.749385833740234,20.56283187866211,-0.0,0.0,3.6122560501098633,5764.3486328125,-1433.84765625,2786,-0.0,0.0,0.0,-0.2216108739376068,-0.8340190649032593,-176.3847198486328,9013.2607421875,-4886.8798828125
174162.731,9.305169105529785,47.60378646850586,-2.488358736038208,-0.008143504150211811,0.02128804847598076,0.9408718347549438,46353.0,-1.8311805725097656,1.957545280456543,-173.9534912109375,-9.657418251037598,16.749385833740234,18.204490661621094,-0.0,0.0,3.6171185970306396,4561.86328125,-1636.416015625,2483,-0.0,0.0,0.0,-0.2216108739376068,-0.8340190649032593,-176.3847198486328,10768.19921875,-1590.319580078125
